time_alpha,amp_alpha,time_gamma,amp_gamma
15.752354,-1.000000,0,0
0,0,15.752354,-1.000000
15.755025,-1.000000,0,0
0,0,15.755025,-1.000000
0,0,15.757696,-1.000000
15.757696,-1.000000,0,0
15.760367,-1.000000,0,0
0,0,15.760367,-1.000000
15.763038,-1.000000,0,0
0,0,15.763038,-1.000000
15.765709,-1.000000,0,0
0,0,15.765709,-1.000000
15.768381,-1.000000,0,0
0,0,15.768381,-1.000000
15.771052,-1.000000,0,0
0,0,15.771052,-1.000000
0,0,15.773723,-1.000000
15.773723,-1.000000,0,0
15.776394,-1.000000,0,0
0,0,15.776394,-1.000000
15.779065,-1.000000,0,0
0,0,15.779065,-1.000000
15.781736,-1.000000,0,0
0,0,15.781736,-1.000000
15.784408,-1.000000,0,0
0,0,15.784408,-1.000000
15.787079,-1.000000,0,0
0,0,15.787079,-1.000000
15.789750,-1.000000,0,0
0,0,15.789750,-1.000000
15.792421,-1.000000,0,0
0,0,15.792421,-1.000000
15.795092,-1.000000,0,0
0,0,15.795092,-1.000000
15.797764,-1.000000,0,0
0,0,15.797764,-1.000000
15.800435,-1.000000,0,0
0,0,15.800435,-1.000000
0,0,15.803106,-1.000000
15.803106,-1.000000,0,0
15.805777,-1.000000,0,0
0,0,15.805777,-1.000000
15.808448,-1.000000,0,0
0,0,15.808448,-1.000000
15.811120,-1.000000,0,0
0,0,15.811120,-1.000000
15.813791,-1.000000,0,0
0,0,15.813791,-1.000000
15.816462,-1.000000,0,0
0,0,15.816462,-1.000000
15.819133,-1.000000,0,0
0,0,15.819133,-1.000000
15.821804,-1.000000,0,0
0,0,15.821804,-1.000000
15.824475,-1.000000,0,0
0,0,15.824475,-1.000000
15.827147,-1.000000,0,0
0,0,15.827147,-1.000000
15.829818,-1.000000,0,0
0,0,15.829818,-1.000000
15.832489,-1.000000,0,0
0,0,15.832489,-1.000000
15.835160,-1.000000,0,0
0,0,15.835160,-1.000000
15.837831,-1.000000,0,0
0,0,15.837831,-1.000000
15.840502,-1.000000,0,0
0,0,15.840502,-1.000000
15.843174,-1.000000,0,0
0,0,15.843174,-1.000000
15.845845,-1.000000,0,0
0,0,15.845845,-1.000000
15.848516,-1.000000,0,0
0,0,15.848516,-1.000000
15.851187,-1.000000,0,0
0,0,15.851187,-1.000000
15.853858,-1.000000,0,0
0,0,15.853858,-1.000000
0,0,15.856529,-1.000000
15.856529,-1.000000,0,0
15.859201,-1.000000,0,0
0,0,15.859201,-1.000000
15.861872,-1.000000,0,0
0,0,15.861872,-1.000000
15.864543,-1.000000,0,0
0,0,15.864543,-1.000000
15.867214,-1.000000,0,0
0,0,15.867214,-1.000000
15.869885,-1.000000,0,0
0,0,15.869885,-1.000000
15.872557,-1.000000,0,0
0,0,15.872557,-1.000000
15.875228,-1.000000,0,0
0,0,15.875228,-1.000000
15.877899,-1.000000,0,0
0,0,15.877899,-1.000000
15.880570,-1.000000,0,0
0,0,15.880570,-1.000000
15.883241,-1.000000,0,0
0,0,15.883241,-1.000000
15.885913,-1.000000,0,0
0,0,15.885913,-1.000000
15.888584,-1.000000,0,0
0,0,15.888584,-1.000000
15.891255,-1.000000,0,0
0,0,15.891255,-1.000000
15.893926,-1.000000,0,0
0,0,15.893926,-1.000000
0,0,15.896597,-1.000000
15.896597,-1.000000,0,0
15.899268,-1.000000,0,0
0,0,15.899268,-1.000000
15.901939,-1.000000,0,0
0,0,15.901939,-1.000000
15.904611,-1.000000,0,0
0,0,15.904611,-1.000000
15.907282,-1.000000,0,0
0,0,15.907282,-1.000000
15.909953,-1.000000,0,0
0,0,15.909953,-1.000000
0,0,15.912624,-1.000000
15.912624,-1.000000,0,0
15.915295,-1.000000,0,0
0,0,15.915295,-1.000000
15.917967,-1.000000,0,0
0,0,15.917967,-1.000000
15.920638,-1.000000,0,0
0,0,15.920638,-1.000000
15.923309,-1.000000,0,0
0,0,15.923309,-1.000000
15.925980,-1.000000,0,0
0,0,15.925980,-1.000000
15.928651,-1.000000,0,0
0,0,15.928651,-1.000000
15.931323,-1.000000,0,0
0,0,15.931323,-1.000000
15.933994,-1.000000,0,0
0,0,15.933994,-1.000000
15.936665,-1.000000,0,0
0,0,15.936665,-1.000000
15.939336,-1.000000,0,0
0,0,15.939336,-1.000000
15.942007,-1.000000,0,0
0,0,15.942007,-1.000000
15.944678,-1.000000,0,0
0,0,15.944678,-1.000000
15.947349,-1.000000,0,0
0,0,15.947349,-1.000000
15.950021,-1.000000,0,0
0,0,15.950021,-1.000000
0,0,15.952692,-1.000000
15.952692,-1.000000,0,0
0,0,15.955363,-1.000000
15.955363,-1.000000,0,0
15.958034,-1.000000,0,0
0,0,15.958034,-1.000000
15.960705,-1.000000,0,0
0,0,15.960705,-1.000000
15.963377,-1.000000,0,0
0,0,15.963377,-1.000000
15.966048,-1.000000,0,0
0,0,15.966048,-1.000000
0,0,15.968719,-1.000000
15.968719,-1.000000,0,0
15.971390,-1.000000,0,0
0,0,15.971390,-1.000000
15.974061,-1.000000,0,0
0,0,15.974061,-1.000000
15.976733,-1.000000,0,0
0,0,15.976733,-1.000000
15.979404,-1.000000,0,0
0,0,15.979404,-1.000000
15.982075,-1.000000,0,0
0,0,15.982075,-1.000000
15.984746,-1.000000,0,0
0,0,15.984746,-1.000000
15.987417,-1.000000,0,0
0,0,15.987417,-1.000000
15.990089,-1.000000,0,0
0,0,15.990089,-1.000000
15.992760,-1.000000,0,0
0,0,15.992760,-1.000000
15.995431,-1.000000,0,0
0,0,15.995431,-1.000000
15.998102,-1.000000,0,0
0,0,15.998102,-1.000000
16.000773,-1.000000,0,0
0,0,16.000773,-1.000000
16.003444,-1.000000,0,0
0,0,16.003444,-1.000000
16.006116,-1.000000,0,0
0,0,16.006116,-1.000000
16.008787,-1.000000,0,0
0,0,16.008787,-1.000000
16.011458,-1.000000,0,0
0,0,16.011458,-1.000000
16.014129,-1.000000,0,0
0,0,16.014129,-1.000000
16.016800,-1.000000,0,0
0,0,16.016800,-1.000000
16.019471,-1.000000,0,0
0,0,16.019471,-1.000000
16.022143,-1.000000,0,0
0,0,16.022143,-1.000000
16.024814,-1.000000,0,0
0,0,16.024814,-1.000000
16.027485,-1.000000,0,0
0,0,16.027485,-1.000000
16.030156,-1.000000,0,0
0,0,16.030156,-1.000000
16.032827,-1.000000,0,0
0,0,16.032827,-1.000000
16.035499,-1.000000,0,0
0,0,16.035499,-1.000000
16.038170,-1.000000,0,0
0,0,16.038170,-1.000000
16.040841,-1.000000,0,0
0,0,16.040841,-1.000000
16.043512,-1.000000,0,0
0,0,16.043512,-1.000000
16.046183,-1.000000,0,0
0,0,16.046183,-1.000000
0,0,16.048854,-1.000000
16.048854,-1.000000,0,0
16.051526,-1.000000,0,0
0,0,16.051526,-1.000000
16.054197,-1.000000,0,0
0,0,16.054197,-1.000000
16.056868,-1.000000,0,0
0,0,16.056868,-1.000000
16.059539,-1.000000,0,0
0,0,16.059539,-1.000000
16.062210,-1.000000,0,0
0,0,16.062210,-1.000000
16.064882,-1.000000,0,0
0,0,16.064882,-1.000000
16.067553,-1.000000,0,0
0,0,16.067553,-1.000000
16.070224,-1.000000,0,0
0,0,16.070224,-1.000000
16.072895,-1.000000,0,0
0,0,16.072895,-1.000000
16.075566,-1.000000,0,0
0,0,16.075566,-1.000000
16.078237,-1.000000,0,0
0,0,16.078237,-1.000000
16.080909,-1.000000,0,0
0,0,16.080909,-1.000000
0,0,16.083580,-1.000000
16.083580,-1.000000,0,0
16.086251,-1.000000,0,0
0,0,16.086251,-1.000000
16.088922,-1.000000,0,0
0,0,16.088922,-1.000000
16.091594,-1.000000,0,0
0,0,16.091594,-1.000000
16.094265,-1.000000,0,0
0,0,16.094265,-1.000000
16.096936,-1.000000,0,0
0,0,16.096936,-1.000000
16.099607,-1.000000,0,0
0,0,16.099607,-1.000000
0,0,16.102278,-1.000000
16.102278,-1.000000,0,0
16.104949,-1.000000,0,0
0,0,16.104949,-1.000000
16.107620,-1.000000,0,0
0,0,16.107620,-1.000000
16.110292,-1.000000,0,0
0,0,16.110292,-1.000000
16.112963,-1.000000,0,0
0,0,16.112963,-1.000000
16.115634,-1.000000,0,0
0,0,16.115634,-1.000000
16.118305,-1.000000,0,0
0,0,16.118305,-1.000000
0,0,16.120976,-1.000000
16.120976,-1.000000,0,0
16.123648,-1.000000,0,0
0,0,16.123648,-1.000000
16.126319,-1.000000,0,0
0,0,16.126319,-1.000000
16.128990,-1.000000,0,0
0,0,16.128990,-1.000000
16.131661,-1.000000,0,0
0,0,16.131661,-1.000000
16.134332,-1.000000,0,0
0,0,16.134332,-1.000000
16.137003,-1.000000,0,0
0,0,16.137003,-1.000000
16.139675,-1.000000,0,0
0,0,16.139675,-1.000000
16.142346,-1.000000,0,0
0,0,16.142346,-1.000000
16.145017,-1.000000,0,0
0,0,16.145017,-1.000000
0,0,16.147688,-1.000000
16.147688,-1.000000,0,0
16.150359,-1.000000,0,0
0,0,16.150359,-1.000000
16.153030,-1.000000,0,0
0,0,16.153030,-1.000000
16.155702,-1.000000,0,0
0,0,16.155702,-1.000000
16.158373,-1.000000,0,0
0,0,16.158373,-1.000000
16.161044,-1.000000,0,0
0,0,16.161044,-1.000000
0,0,16.163715,-1.000000
16.163715,-1.000000,0,0
16.166386,-1.000000,0,0
0,0,16.166386,-1.000000
16.169057,-1.000000,0,0
0,0,16.169057,-1.000000
16.171729,-1.000000,0,0
0,0,16.171729,-1.000000
16.174400,-1.000000,0,0
0,0,16.174400,-1.000000
16.177071,-1.000000,0,0
0,0,16.177071,-1.000000
16.179742,-1.000000,0,0
0,0,16.179742,-1.000000
0,0,16.182413,-1.000000
16.182413,-1.000000,0,0
16.185085,-1.000000,0,0
0,0,16.185085,-1.000000
0,0,16.187756,-1.000000
16.187756,-1.000000,0,0
16.190427,-1.000000,0,0
0,0,16.190427,-1.000000
16.193098,-1.000000,0,0
0,0,16.193098,-1.000000
16.195769,-1.000000,0,0
0,0,16.195769,-1.000000
16.198440,-1.000000,0,0
0,0,16.198440,-1.000000
16.201112,-1.000000,0,0
0,0,16.201112,-1.000000
0,0,16.203783,-1.000000
16.203783,-1.000000,0,0
16.206454,-1.000000,0,0
0,0,16.206454,-1.000000
16.209125,-1.000000,0,0
0,0,16.209125,-1.000000
16.211796,-1.000000,0,0
0,0,16.211796,-1.000000
16.214467,-1.000000,0,0
0,0,16.214467,-1.000000
16.217139,-1.000000,0,0
0,0,16.217139,-1.000000
16.219810,-1.000000,0,0
0,0,16.219810,-1.000000
16.222481,-1.000000,0,0
0,0,16.222481,-1.000000
16.225152,-1.000000,0,0
0,0,16.225152,-1.000000
16.227823,-1.000000,0,0
0,0,16.227823,-1.000000
16.230495,-1.000000,0,0
0,0,16.230495,-1.000000
16.233166,-1.000000,0,0
0,0,16.233166,-1.000000
0,0,16.235837,-1.000000
16.235837,-1.000000,0,0
16.238508,-1.000000,0,0
0,0,16.238508,-1.000000
16.241179,-1.000000,0,0
0,0,16.241179,-1.000000
16.243850,-1.000000,0,0
0,0,16.243850,-1.000000
16.246521,-1.000000,0,0
0,0,16.246522,-1.000000
0,0,16.249193,-1.000000
16.249193,-1.000000,0,0
16.251864,-1.000000,0,0
0,0,16.251864,-1.000000
16.254535,-1.000000,0,0
0,0,16.254535,-1.000000
16.257206,-1.000000,0,0
0,0,16.257206,-1.000000
16.259877,-1.000000,0,0
0,0,16.259877,-1.000000
16.262549,-1.000000,0,0
0,0,16.262549,-1.000000
0,0,16.265220,-1.000000
16.265220,-1.000000,0,0
16.267891,-1.000000,0,0
0,0,16.267891,-1.000000
16.270562,-1.000000,0,0
0,0,16.270562,-1.000000
16.273233,-1.000000,0,0
0,0,16.273233,-1.000000
0,0,16.275904,-1.000000
16.275904,-1.000000,0,0
16.278576,-1.000000,0,0
0,0,16.278576,-1.000000
16.281247,-1.000000,0,0
0,0,16.281247,-1.000000
16.283918,-1.000000,0,0
0,0,16.283918,-1.000000
16.286589,-1.000000,0,0
0,0,16.286589,-1.000000
16.289260,-1.000000,0,0
0,0,16.289260,-1.000000
16.291932,-1.000000,0,0
0,0,16.291932,-1.000000
16.294603,-1.000000,0,0
0,0,16.294603,-1.000000
16.297274,-1.000000,0,0
0,0,16.297274,-1.000000
16.299945,-1.000000,0,0
0,0,16.299945,-1.000000
16.302616,-1.000000,0,0
0,0,16.302616,-1.000000
16.305287,-1.000000,0,0
0,0,16.305287,-1.000000
16.307959,-1.000000,0,0
0,0,16.307959,-1.000000
16.310630,-1.000000,0,0
0,0,16.310630,-1.000000
0,0,16.313301,-1.000000
16.313301,-1.000000,0,0
16.315972,-1.000000,0,0
0,0,16.315972,-1.000000
0,0,16.318643,-1.000000
16.318643,-1.000000,0,0
16.321314,-1.000000,0,0
0,0,16.321314,-1.000000
0,0,16.323986,-1.000000
16.323986,-1.000000,0,0
16.326657,-1.000000,0,0
0,0,16.326657,-1.000000
16.329328,-1.000000,0,0
0,0,16.329328,-1.000000
16.331999,-1.000000,0,0
0,0,16.331999,-1.000000
16.334670,-1.000000,0,0
0,0,16.334670,-1.000000
16.337342,-1.000000,0,0
0,0,16.337342,-1.000000
16.340013,-1.000000,0,0
0,0,16.340013,-1.000000
16.342684,-1.000000,0,0
0,0,16.342684,-1.000000
0,0,16.345355,-1.000000
16.345355,-1.000000,0,0
16.348026,-1.000000,0,0
0,0,16.348026,-1.000000
16.350698,-1.000000,0,0
0,0,16.350698,-1.000000
16.353369,-1.000000,0,0
0,0,16.353369,-1.000000
16.356040,-1.000000,0,0
0,0,16.356040,-1.000000
16.358711,-1.000000,0,0
0,0,16.358711,-1.000000
0,0,16.361382,-1.000000
16.361382,-1.000000,0,0
16.364053,-1.000000,0,0
0,0,16.364053,-1.000000
16.366725,-1.000000,0,0
0,0,16.366725,-1.000000
16.369396,-1.000000,0,0
0,0,16.369396,-1.000000
16.372067,-1.000000,0,0
0,0,16.372067,-1.000000
16.374738,-1.000000,0,0
0,0,16.374738,-1.000000
16.377409,-1.000000,0,0
0,0,16.377409,-1.000000
16.380080,-1.000000,0,0
0,0,16.380080,-1.000000
16.382752,-1.000000,0,0
0,0,16.382752,-1.000000
16.385423,-1.000000,0,0
0,0,16.385423,-1.000000
16.388094,-1.000000,0,0
0,0,16.388094,-1.000000
16.390765,-1.000000,0,0
0,0,16.390765,-1.000000
16.393436,-1.000000,0,0
0,0,16.393436,-1.000000
16.396107,-1.000000,0,0
0,0,16.396107,-1.000000
16.398779,-1.000000,0,0
0,0,16.398779,-1.000000
16.401450,-1.000000,0,0
0,0,16.401450,-1.000000
16.404121,-1.000000,0,0
0,0,16.404121,-1.000000
16.406792,-1.000000,0,0
0,0,16.406792,-1.000000
16.409463,-1.000000,0,0
0,0,16.409463,-1.000000
16.412135,-1.000000,0,0
0,0,16.412135,-1.000000
0,0,16.414806,-1.000000
16.414806,-1.000000,0,0
0,0,16.417477,-1.000000
16.417477,-1.000000,0,0
16.420148,-1.000000,0,0
0,0,16.420148,-1.000000
16.422819,-1.000000,0,0
0,0,16.422819,-1.000000
16.425490,-1.000000,0,0
0,0,16.425490,-1.000000
16.428162,-1.000000,0,0
0,0,16.428162,-1.000000
16.430833,-1.000000,0,0
0,0,16.430833,-1.000000
16.433504,-1.000000,0,0
0,0,16.433504,-1.000000
16.436175,-1.000000,0,0
0,0,16.436175,-1.000000
16.438846,-1.000000,0,0
0,0,16.438846,-1.000000
16.441517,-1.000000,0,0
0,0,16.441517,-1.000000
16.444189,-1.000000,0,0
0,0,16.444189,-1.000000
16.446860,-1.000000,0,0
0,0,16.446860,-1.000000
16.449531,-1.000000,0,0
0,0,16.449531,-1.000000
16.452202,-1.000000,0,0
0,0,16.452202,-1.000000
0,0,16.454873,-1.000000
16.454873,-1.000000,0,0
16.457544,-1.000000,0,0
0,0,16.457544,-1.000000
16.460215,-1.000000,0,0
0,0,16.460215,-1.000000
16.462887,-1.000000,0,0
0,0,16.462887,-1.000000
16.465558,-1.000000,0,0
0,0,16.465558,-1.000000
16.468229,-1.000000,0,0
0,0,16.468229,-1.000000
16.470900,-1.000000,0,0
0,0,16.470900,-1.000000
16.473571,-1.000000,0,0
0,0,16.473571,-1.000000
0,0,16.476243,-1.000000
16.476243,-1.000000,0,0
16.478914,-1.000000,0,0
0,0,16.478914,-1.000000
0,0,16.481585,-1.000000
16.481585,-1.000000,0,0
16.484256,-1.000000,0,0
0,0,16.484256,-1.000000
16.486927,-1.000000,0,0
0,0,16.486927,-1.000000
16.489599,-1.000000,0,0
0,0,16.489599,-1.000000
16.492270,-1.000000,0,0
0,0,16.492270,-1.000000
16.494941,-1.000000,0,0
0,0,16.494941,-1.000000
16.497612,-1.000000,0,0
0,0,16.497612,-1.000000
16.500283,-1.000000,0,0
0,0,16.500283,-1.000000
16.502954,-1.000000,0,0
0,0,16.502954,-1.000000
16.505626,-1.000000,0,0
0,0,16.505626,-1.000000
16.508297,-1.000000,0,0
0,0,16.508297,-1.000000
0,0,16.510968,-1.000000
16.510968,-1.000000,0,0
16.513639,-1.000000,0,0
0,0,16.513639,-1.000000
16.516310,-1.000000,0,0
0,0,16.516310,-1.000000
16.518981,-1.000000,0,0
0,0,16.518981,-1.000000
16.521652,-1.000000,0,0
0,0,16.521652,-1.000000
16.524324,-1.000000,0,0
0,0,16.524324,-1.000000
16.526995,-1.000000,0,0
0,0,16.526995,-1.000000
16.529666,-1.000000,0,0
0,0,16.529666,-1.000000
16.532337,-1.000000,0,0
0,0,16.532337,-1.000000
16.535008,-1.000000,0,0
0,0,16.535008,-1.000000
16.537680,-1.000000,0,0
0,0,16.537680,-1.000000
16.540351,-1.000000,0,0
0,0,16.540351,-1.000000
16.543022,-1.000000,0,0
0,0,16.543022,-1.000000
16.545693,-1.000000,0,0
0,0,16.545693,-1.000000
16.548364,-1.000000,0,0
0,0,16.548364,-1.000000
16.551035,-1.000000,0,0
0,0,16.551035,-1.000000
16.553706,-1.000000,0,0
0,0,16.553706,-1.000000
16.556378,-1.000000,0,0
0,0,16.556378,-1.000000
0,0,16.559049,-1.000000
16.559049,-1.000000,0,0
16.561720,-1.000000,0,0
0,0,16.561720,-1.000000
16.564391,-1.000000,0,0
0,0,16.564391,-1.000000
0,0,16.567062,-1.000000
16.567062,-1.000000,0,0
16.569734,-1.000000,0,0
0,0,16.569734,-1.000000
16.572405,-1.000000,0,0
0,0,16.572405,-1.000000
16.575076,-1.000000,0,0
0,0,16.575076,-1.000000
16.577747,-1.000000,0,0
0,0,16.577747,-1.000000
16.580418,-1.000000,0,0
0,0,16.580418,-1.000000
16.583089,-1.000000,0,0
0,0,16.583089,-1.000000
16.585761,-1.000000,0,0
0,0,16.585761,-1.000000
16.588432,-1.000000,0,0
0,0,16.588432,-1.000000
0,0,16.591103,-1.000000
16.591103,-1.000000,0,0
16.593774,-1.000000,0,0
0,0,16.593774,-1.000000
16.596445,-1.000000,0,0
0,0,16.596445,-1.000000
16.599116,-1.000000,0,0
0,0,16.599116,-1.000000
16.601788,-1.000000,0,0
0,0,16.601788,-1.000000
16.604459,-1.000000,0,0
0,0,16.604459,-1.000000
16.607130,-1.000000,0,0
0,0,16.607130,-1.000000
16.609801,-1.000000,0,0
0,0,16.609801,-1.000000
16.612472,-1.000000,0,0
0,0,16.612472,-1.000000
16.615143,-1.000000,0,0
0,0,16.615143,-1.000000
16.617815,-1.000000,0,0
0,0,16.617815,-1.000000
16.620486,-1.000000,0,0
0,0,16.620486,-1.000000
16.623157,-1.000000,0,0
0,0,16.623157,-1.000000
16.625828,-1.000000,0,0
0,0,16.625828,-1.000000
0,0,16.628499,-1.000000
16.628499,-1.000000,0,0
16.631171,-1.000000,0,0
0,0,16.631171,-1.000000
0,0,16.633842,-1.000000
16.633842,-1.000000,0,0
16.636513,-1.000000,0,0
0,0,16.636513,-1.000000
16.639184,-1.000000,0,0
0,0,16.639184,-1.000000
16.641855,-1.000000,0,0
0,0,16.641855,-1.000000
16.644526,-1.000000,0,0
0,0,16.644526,-1.000000
16.647197,-1.000000,0,0
0,0,16.647197,-1.000000
16.649869,-1.000000,0,0
0,0,16.649869,-1.000000
16.652540,-1.000000,0,0
0,0,16.652540,-1.000000
16.655211,-1.000000,0,0
0,0,16.655211,-1.000000
16.657882,-1.000000,0,0
0,0,16.657882,-1.000000
16.660553,-1.000000,0,0
0,0,16.660553,-1.000000
16.663225,-1.000000,0,0
0,0,16.663225,-1.000000
16.665896,-1.000000,0,0
0,0,16.665896,-1.000000
16.668567,-1.000000,0,0
0,0,16.668567,-1.000000
16.671238,-1.000000,0,0
0,0,16.671238,-1.000000
0,0,16.673909,-1.000000
16.673909,-1.000000,0,0
16.676580,-1.000000,0,0
0,0,16.676580,-1.000000
16.679251,-1.000000,0,0
0,0,16.679251,-1.000000
16.681923,-1.000000,0,0
0,0,16.681923,-1.000000
16.684594,-1.000000,0,0
0,0,16.684594,-1.000000
0,0,16.687265,-1.000000
16.687265,-1.000000,0,0
16.689936,-1.000000,0,0
0,0,16.689936,-1.000000
16.692607,-1.000000,0,0
0,0,16.692607,-1.000000
16.695279,-1.000000,0,0
0,0,16.695279,-1.000000
16.697950,-1.000000,0,0
0,0,16.697950,-1.000000
16.700621,-1.000000,0,0
0,0,16.700621,-1.000000
16.703292,-1.000000,0,0
0,0,16.703292,-1.000000
16.705963,-1.000000,0,0
0,0,16.705963,-1.000000
16.708634,-1.000000,0,0
0,0,16.708634,-1.000000
16.711306,-1.000000,0,0
0,0,16.711306,-1.000000
16.713977,-1.000000,0,0
0,0,16.713977,-1.000000
16.716648,-1.000000,0,0
0,0,16.716648,-1.000000
16.719319,-1.000000,0,0
0,0,16.719319,-1.000000
16.721990,-1.000000,0,0
0,0,16.721990,-1.000000
0,0,16.724661,-1.000000
16.724661,-1.000000,0,0
16.727333,-1.000000,0,0
0,0,16.727333,-1.000000
0,0,16.730004,-1.000000
16.730004,-1.000000,0,0
16.732675,-1.000000,0,0
0,0,16.732675,-1.000000
16.735346,-1.000000,0,0
0,0,16.735346,-1.000000
16.738017,-1.000000,0,0
0,0,16.738017,-1.000000
16.740688,-1.000000,0,0
0,0,16.740688,-1.000000
16.743360,-1.000000,0,0
0,0,16.743360,-1.000000
16.746031,-1.000000,0,0
0,0,16.746031,-1.000000
16.748702,-1.000000,0,0
0,0,16.748702,-1.000000
0,0,16.751373,-1.000000
16.751373,-1.000000,0,0
16.754044,-1.000000,0,0
0,0,16.754044,-1.000000
16.756715,-1.000000,0,0
0,0,16.756715,-1.000000
0,0,16.759387,-1.000000
16.759387,-1.000000,0,0
16.762058,-1.000000,0,0
0,0,16.762058,-1.000000
0,0,16.764729,-1.000000
16.764729,-1.000000,0,0
16.767400,-1.000000,0,0
0,0,16.767400,-1.000000
16.770071,-1.000000,0,0
0,0,16.770071,-1.000000
16.772742,-1.000000,0,0
0,0,16.772742,-1.000000
16.775414,-1.000000,0,0
0,0,16.775414,-1.000000
16.778085,-1.000000,0,0
0,0,16.778085,-1.000000
16.780756,-1.000000,0,0
0,0,16.780756,-1.000000
16.783427,-1.000000,0,0
0,0,16.783427,-1.000000
16.786098,-1.000000,0,0
0,0,16.786098,-1.000000
16.788770,-1.000000,0,0
0,0,16.788770,-1.000000
16.791441,-1.000000,0,0
0,0,16.791441,-1.000000
16.794112,-1.000000,0,0
0,0,16.794112,-1.000000
16.796783,-1.000000,0,0
0,0,16.796783,-1.000000
16.799454,-1.000000,0,0
0,0,16.799454,-1.000000
16.802125,-1.000000,0,0
0,0,16.802125,-1.000000
16.804797,-1.000000,0,0
0,0,16.804797,-1.000000
0,0,16.807468,-1.000000
16.807468,-1.000000,0,0
16.810139,-1.000000,0,0
0,0,16.810139,-1.000000
16.812810,-1.000000,0,0
0,0,16.812810,-1.000000
16.815481,-1.000000,0,0
0,0,16.815481,-1.000000
0,0,16.818152,-1.000000
16.818152,-1.000000,0,0
16.820824,-1.000000,0,0
0,0,16.820824,-1.000000
16.823495,-1.000000,0,0
0,0,16.823495,-1.000000
16.826166,-1.000000,0,0
0,0,16.826166,-1.000000
16.828837,-1.000000,0,0
0,0,16.828837,-1.000000
16.831508,-1.000000,0,0
0,0,16.831508,-1.000000
16.834180,-1.000000,0,0
0,0,16.834180,-1.000000
16.836851,-1.000000,0,0
0,0,16.836851,-1.000000
16.839522,-1.000000,0,0
0,0,16.839522,-1.000000
16.842193,-1.000000,0,0
0,0,16.842193,-1.000000
16.844864,-1.000000,0,0
0,0,16.844864,-1.000000
16.847535,-1.000000,0,0
0,0,16.847535,-1.000000
0,0,16.850207,-1.000000
16.850207,-1.000000,0,0
16.852878,-1.000000,0,0
0,0,16.852878,-1.000000
0,0,16.855549,-1.000000
16.855549,-1.000000,0,0
16.858220,-1.000000,0,0
0,0,16.858220,-1.000000
0,0,16.860891,-1.000000
16.860891,-1.000000,0,0
16.863563,-1.000000,0,0
0,0,16.863563,-1.000000
16.866234,-1.000000,0,0
0,0,16.866234,-1.000000
16.868905,-1.000000,0,0
0,0,16.868905,-1.000000
0,0,16.871576,-1.000000
16.871576,-1.000000,0,0
16.874247,-1.000000,0,0
0,0,16.874247,-1.000000
16.876919,-1.000000,0,0
0,0,16.876919,-1.000000
16.879590,-1.000000,0,0
0,0,16.879590,-1.000000
16.882261,-1.000000,0,0
0,0,16.882261,-1.000000
16.884932,-1.000000,0,0
0,0,16.884932,-1.000000
0,0,16.887603,-1.000000
16.887603,-1.000000,0,0
16.890274,-1.000000,0,0
0,0,16.890274,-1.000000
16.892945,-1.000000,0,0
0,0,16.892945,-1.000000
16.895617,-1.000000,0,0
0,0,16.895617,-1.000000
16.898288,-1.000000,0,0
0,0,16.898288,-1.000000
16.900959,-1.000000,0,0
0,0,16.900959,-1.000000
16.903630,-1.000000,0,0
0,0,16.903630,-1.000000
0,0,16.906301,-1.000000
16.906301,-1.000000,0,0
16.908973,-1.000000,0,0
0,0,16.908973,-1.000000
16.911644,-1.000000,0,0
0,0,16.911644,-1.000000
16.914315,-1.000000,0,0
0,0,16.914315,-1.000000
0,0,16.916986,-1.000000
16.916986,-1.000000,0,0
16.919657,-1.000000,0,0
0,0,16.919657,-1.000000
16.922329,-1.000000,0,0
0,0,16.922329,-1.000000
16.925000,-1.000000,0,0
0,0,16.925000,-1.000000
16.927671,-1.000000,0,0
0,0,16.927671,-1.000000
16.930342,-1.000000,0,0
0,0,16.930342,-1.000000
16.933013,-1.000000,0,0
0,0,16.933013,-1.000000
16.935684,-1.000000,0,0
0,0,16.935684,-1.000000
16.938356,-1.000000,0,0
0,0,16.938356,-1.000000
16.941027,-1.000000,0,0
0,0,16.941027,-1.000000
16.943698,-1.000000,0,0
0,0,16.943698,-1.000000
16.946369,-1.000000,0,0
0,0,16.946369,-1.000000
16.949040,-1.000000,0,0
0,0,16.949040,-1.000000
16.951712,-1.000000,0,0
0,0,16.951712,-1.000000
0,0,16.954383,-1.000000
16.954383,-1.000000,0,0
16.957054,-1.000000,0,0
0,0,16.957054,-1.000000
16.959725,-1.000000,0,0
0,0,16.959725,-1.000000
16.962396,-1.000000,0,0
0,0,16.962396,-1.000000
16.965067,-1.000000,0,0
0,0,16.965067,-1.000000
16.967739,-1.000000,0,0
0,0,16.967739,-1.000000
16.970410,-1.000000,0,0
0,0,16.970410,-1.000000
16.973081,-1.000000,0,0
0,0,16.973081,-1.000000
0,0,16.975752,-1.000000
16.975752,-1.000000,0,0
16.978423,-1.000000,0,0
0,0,16.978423,-1.000000
16.981094,-1.000000,0,0
0,0,16.981094,-1.000000
16.983766,-1.000000,0,0
0,0,16.983766,-1.000000
16.986437,-1.000000,0,0
0,0,16.986437,-1.000000
16.989108,-1.000000,0,0
0,0,16.989108,-1.000000
0,0,16.991779,-1.000000
16.991779,-1.000000,0,0
16.994450,-1.000000,0,0
